100;50;60.147.081.019.221.500;14.455.676.007.414.200;1
100;50;60.147.081.019.221.500;14.455.676.007.414.200;1
100;50;578.605.153.769.256;14.651.619.144.825.300;0.25
100;50;57.714.526.421.117.100;14.660.845.119.139.000;0.125
100;50;578.605.153.769.256;14.651.619.144.825.300;0.25
100;50;585.077.571.122.876;1.459.337.436.208.130;0.5
251;80;4.101.932.309.292.710;12.528.059.941.157.800;1
251;80;38.951.676.022.774.000;12.160.189.328.150.300;0.5
251;80;38.256.477.483.839.300;12.121.814.099.993.400;0.25
251;80;38.111.051.894.283.200;12.086.435.461.924.200;0.125
157;50;6.929.232.817.747.640;12.259.599.748.302.100;0.5
157;50;6.929.232.817.747.640;12.259.599.748.302.100;0.5
157;50;3.398.717.505.632.190;2.923.841.975.771.000;0.5
62;20;26.214.729.495.752.700;27.278.292.144.721.200;0.5
62;20;26.192.421.812.945.600;27.244.589.922.742.000;0.5
62;20;25.974.631.410.834.200;26.979.041.117.206.400;0.5
62;20;12.109.293.338.803.500;22.295.933.247.339.700;0.5
78;25;997.110.692.779.087;1.577.803.588.202.320;0.5
78;25;997.110.692.779.087;1.577.803.588.202.320;0.5
78;25;997.110.692.779.087;1.577.803.588.202.320;0.5
78;25;997.110.692.779.087;1.577.803.588.202.320;0.5
235;75;40.117.395.604.177.600;1.362.236.021.191.790;0.5
314;100;3.222.001.510.025.790;10.629.317.686.914.400;0.5
392;125;27.057.612.421.948.500;981.573.822.295.258;0.5
471;150;23.342.535.148.013.300;8.413.624.763.380.770;0.5
549;175;2.067.709.253.428.240;7.866.686.621.921.780;0.5
628;200;18.726.245.964.118.600;6.406.545.386.481.810;0.5
706;225;17.492.011.256.972.400;5.719.555.780.581.190;0.5
785;250;1.660.616.889.268.250;47.965.234.848.878.300;0.5
863;275;1.550.529.401.808.890;3.957.317.458.038.130;0.5
942;300;14.683.411.043.732.600;3.476.454.473.622.890;0.5
1021;325;14.042.607.868.156.700;29.049.568.427.525.900;0.5
1099;350;13.396.208.267.506.600;23.164.959.375.396.200;0.5
78;25;9.97110692779087;157.7803588202322;0.5
157;50;5.694748508370041;146.39976395476617;0.5
235;75;4.0117395604177695;136.2236021191793;0.5
78;25;9.97110692779087;157.7803588202322;0.5
